Subframe,Index,Service_type,Handover,Packet_size,Packet_size_norm
0,0,1,0,33,0.12222222222222222
0,1,0,0,16,0.05925925925925926
0,2,1,1,47,0.17407407407407408
0,3,1,0,45,0.16666666666666666
0,4,4,0,43,0.15925925925925927
0,5,4,0,32,0.11851851851851852
0,6,0,0,17,0.06296296296296296
0,7,3,0,17,0.06296296296296296
0,8,2,0,58,0.21481481481481482
0,9,1,0,71,0.26296296296296295
0,10,3,0,22,0.08148148148148149
0,11,1,1,33,0.12222222222222222
0,12,4,1,41,0.15185185185185185
0,13,0,1,15,0.05555555555555555
0,14,0,0,21,0.07777777777777778
0,15,5,1,46,0.17037037037037037
0,16,3,0,18,0.06666666666666667
0,17,4,1,33,0.12222222222222222
0,18,5,1,57,0.2111111111111111
0,19,2,0,67,0.24814814814814815
0,20,3,1,18,0.06666666666666667
0,21,3,0,17,0.06296296296296296
0,22,1,0,32,0.11851851851851852
0,23,0,0,15,0.05555555555555555
0,24,5,0,61,0.22592592592592592
0,25,4,0,33,0.12222222222222222
0,26,3,1,25,0.09259259259259259
0,27,2,0,119,0.44074074074074077
0,28,1,0,33,0.12222222222222222
0,29,5,0,55,0.2037037037037037
0,30,4,1,45,0.16666666666666666
0,31,2,0,46,0.17037037037037037
0,32,0,0,16,0.05925925925925926
0,33,1,1,59,0.21851851851851853
0,34,5,0,80,0.2962962962962963
0,35,4,0,77,0.2851851851851852
0,36,2,0,61,0.22592592592592592
0,37,1,0,51,0.18888888888888888
0,38,4,0,48,0.17777777777777778
0,39,1,0,31,0.11481481481481481
0,40,2,0,59,0.21851851851851853
0,41,4,0,33,0.12222222222222222
0,42,1,0,40,0.14814814814814814
0,43,2,0,84,0.3111111111111111
0,44,2,0,113,0.4185185185185185
0,45,1,1,79,0.29259259259259257
0,46,3,0,30,0.1111111111111111
0,47,0,0,20,0.07407407407407407
0,48,3,0,17,0.06296296296296296
0,49,0,0,21,0.07777777777777778
0,50,5,0,52,0.1925925925925926
0,51,3,0,15,0.05555555555555555
0,52,5,0,57,0.2111111111111111
0,53,3,0,19,0.07037037037037037
0,54,1,1,32,0.11851851851851852
0,55,5,0,196,0.725925925925926
0,56,0,0,18,0.06666666666666667
0,57,2,1,52,0.1925925925925926
0,58,5,0,73,0.27037037037037037
0,59,5,1,58,0.21481481481481482
0,60,3,0,21,0.07777777777777778
0,61,4,0,30,0.1111111111111111
0,62,3,0,103,0.3814814814814815
0,63,1,0,34,0.1259259259259259
0,64,4,0,33,0.12222222222222222
0,65,4,0,40,0.14814814814814814
0,66,1,0,34,0.1259259259259259
0,67,4,0,44,0.16296296296296298
0,68,5,0,131,0.48518518518518516
0,69,3,0,17,0.06296296296296296
0,70,1,0,36,0.13333333333333333
0,71,3,0,23,0.08518518518518518
0,72,1,1,30,0.1111111111111111
0,73,0,0,27,0.1
0,74,1,0,34,0.1259259259259259
0,75,4,0,60,0.2222222222222222
0,76,2,0,69,0.25555555555555554
0,77,5,0,46,0.17037037037037037
0,78,2,0,46,0.17037037037037037
0,79,2,0,46,0.17037037037037037
0,80,3,1,15,0.05555555555555555
0,81,0,0,23,0.08518518518518518
0,82,5,0,50,0.18518518518518517
0,83,2,0,62,0.22962962962962963
0,84,3,0,17,0.06296296296296296
0,85,3,0,16,0.05925925925925926
0,86,5,0,47,0.17407407407407408
0,87,3,0,16,0.05925925925925926
0,88,3,0,18,0.06666666666666667
0,89,3,0,15,0.05555555555555555
0,90,3,0,20,0.07407407407407407
0,91,4,1,211,0.7814814814814814
0,92,0,1,35,0.12962962962962962
0,93,4,0,43,0.15925925925925927
0,94,0,0,18,0.06666666666666667
0,95,1,0,47,0.17407407407407408
0,96,5,0,60,0.2222222222222222
0,97,0,1,20,0.07407407407407407
0,98,3,0,23,0.08518518518518518
0,99,2,0,57,0.2111111111111111
0,100,2,0,100,0.37037037037037035
0,101,3,0,25,0.09259259259259259
0,102,3,0,30,0.1111111111111111
0,103,2,0,223,0.825925925925926
0,104,0,1,24,0.08888888888888889
0,105,2,0,91,0.337037037037037
0,106,5,0,49,0.1814814814814815
0,107,4,1,45,0.16666666666666666
0,108,1,0,45,0.16666666666666666
0,109,5,1,146,0.5407407407407407
0,110,3,0,19,0.07037037037037037
0,111,3,0,21,0.07777777777777778
0,112,2,1,47,0.17407407407407408
0,113,0,0,76,0.2814814814814815
0,114,2,0,79,0.29259259259259257
0,115,2,1,56,0.2074074074074074
0,116,3,0,29,0.10740740740740741
0,117,5,0,69,0.25555555555555554
0,118,2,0,52,0.1925925925925926
0,119,4,0,39,0.14444444444444443
0,120,0,0,50,0.18518518518518517
0,121,3,0,40,0.14814814814814814
0,122,4,0,244,0.9037037037037037
0,123,2,0,48,0.17777777777777778
0,124,2,0,60,0.2222222222222222
0,125,5,0,52,0.1925925925925926
0,126,2,0,45,0.16666666666666666
0,127,5,0,46,0.17037037037037037
0,128,1,0,35,0.12962962962962962
0,129,5,0,188,0.6962962962962963
0,130,5,0,54,0.2
0,131,0,0,16,0.05925925925925926
0,132,1,0,30,0.1111111111111111
0,133,0,1,16,0.05925925925925926
0,134,4,0,82,0.3037037037037037
0,135,3,1,75,0.2777777777777778
0,136,5,0,67,0.24814814814814815
0,137,0,1,24,0.08888888888888889
0,138,4,0,61,0.22592592592592592
0,139,3,1,26,0.0962962962962963
0,140,3,1,15,0.05555555555555555
0,141,5,1,47,0.17407407407407408
0,142,2,0,78,0.28888888888888886
0,143,4,1,44,0.16296296296296298
0,144,1,0,50,0.18518518518518517
0,145,5,1,55,0.2037037037037037
0,146,3,1,15,0.05555555555555555
0,147,2,0,47,0.17407407407407408
0,148,2,1,67,0.24814814814814815
0,149,2,1,58,0.21481481481481482
0,150,1,1,36,0.13333333333333333
0,151,3,0,47,0.17407407407407408
0,152,2,0,85,0.3148148148148148
0,153,2,0,47,0.17407407407407408
0,154,1,0,37,0.13703703703703704
0,155,4,0,41,0.15185185185185185
0,156,3,0,28,0.1037037037037037
0,157,4,0,32,0.11851851851851852
0,158,0,0,23,0.08518518518518518
0,159,4,1,37,0.13703703703703704
0,160,5,0,56,0.2074074074074074
0,161,4,0,86,0.31851851851851853
0,162,1,0,31,0.11481481481481481
0,163,2,0,56,0.2074074074074074
0,164,2,0,47,0.17407407407407408
0,165,1,1,39,0.14444444444444443
0,166,5,0,49,0.1814814814814815
0,167,3,0,19,0.07037037037037037
0,168,1,1,32,0.11851851851851852
0,169,4,1,33,0.12222222222222222
1,0,1,0,43,0.15925925925925927
1,1,1,0,30,0.1111111111111111
1,2,0,1,20,0.07407407407407407
1,3,3,1,21,0.07777777777777778
1,4,3,0,20,0.07407407407407407
1,5,0,1,15,0.05555555555555555
1,6,0,0,15,0.05555555555555555
1,7,5,0,90,0.3333333333333333
1,8,1,0,43,0.15925925925925927
1,9,2,0,47,0.17407407407407408
1,10,2,0,78,0.28888888888888886
1,11,1,0,91,0.337037037037037
1,12,2,0,48,0.17777777777777778
1,13,4,0,56,0.2074074074074074
1,14,1,0,95,0.35185185185185186
1,15,2,0,49,0.1814814814814815
