Subframe,Index,Service_type,Handover,Packet_size,Packet_size_norm
0,0,1,0,48,0.17777777777777778
0,1,1,0,31,0.11481481481481481
0,2,5,0,84,0.3111111111111111
0,3,2,0,53,0.1962962962962963
0,4,4,0,45,0.16666666666666666
0,5,0,0,24,0.08888888888888889
0,6,0,0,17,0.06296296296296296
0,7,0,0,24,0.08888888888888889
0,8,0,0,24,0.08888888888888889
0,9,5,1,51,0.18888888888888888
0,10,5,0,52,0.1925925925925926
0,11,3,0,18,0.06666666666666667
0,12,0,1,22,0.08148148148148149
0,13,1,0,179,0.662962962962963
0,14,3,0,20,0.07407407407407407
0,15,1,0,37,0.13703703703703704
0,16,2,0,53,0.1962962962962963
0,17,1,0,41,0.15185185185185185
0,18,0,0,29,0.10740740740740741
0,19,0,0,16,0.05925925925925926
0,20,0,0,18,0.06666666666666667
0,21,5,0,52,0.1925925925925926
0,22,3,0,18,0.06666666666666667
0,23,0,0,29,0.10740740740740741
0,24,4,0,105,0.3888888888888889
0,25,3,0,17,0.06296296296296296
0,26,4,0,34,0.1259259259259259
0,27,5,0,47,0.17407407407407408
0,28,4,0,30,0.1111111111111111
0,29,2,0,55,0.2037037037037037
0,30,2,0,79,0.29259259259259257
0,31,4,0,49,0.1814814814814815
0,32,4,0,42,0.15555555555555556
0,33,5,0,55,0.2037037037037037
0,34,1,0,31,0.11481481481481481
0,35,5,0,47,0.17407407407407408
0,36,3,0,47,0.17407407407407408
0,37,0,0,32,0.11851851851851852
1,0,4,0,34,0.1259259259259259
1,1,1,1,31,0.11481481481481481
1,2,4,0,31,0.11481481481481481
1,3,2,0,46,0.17037037037037037
1,4,2,0,83,0.3074074074074074
1,5,3,0,55,0.2037037037037037
1,6,3,0,27,0.1
1,7,5,0,60,0.2222222222222222
1,8,0,0,16,0.05925925925925926
1,9,0,0,21,0.07777777777777778
1,10,0,0,27,0.1
1,11,1,1,53,0.1962962962962963
1,12,0,1,16,0.05925925925925926
1,13,5,1,91,0.337037037037037
1,14,0,0,18,0.06666666666666667
1,15,4,0,32,0.11851851851851852
1,16,2,0,61,0.22592592592592592
1,17,3,0,16,0.05925925925925926
1,18,5,0,68,0.2518518518518518
1,19,3,1,18,0.06666666666666667
1,20,5,0,46,0.17037037037037037
1,21,0,0,20,0.07407407407407407
1,22,4,0,40,0.14814814814814814
1,23,1,0,31,0.11481481481481481
1,24,4,0,40,0.14814814814814814
1,25,4,0,35,0.12962962962962962
1,26,2,0,96,0.35555555555555557
1,27,0,1,17,0.06296296296296296
1,28,0,0,83,0.3074074074074074
1,29,5,1,75,0.2777777777777778
1,30,2,0,51,0.18888888888888888
1,31,5,0,50,0.18518518518518517
1,32,0,0,25,0.09259259259259259
1,33,1,0,51,0.18888888888888888
1,34,0,0,18,0.06666666666666667
1,35,5,1,63,0.23333333333333334
1,36,3,1,22,0.08148148148148149
1,37,1,0,34,0.1259259259259259
1,38,4,0,53,0.1962962962962963
1,39,1,1,33,0.12222222222222222
1,40,1,0,38,0.14074074074074075
1,41,5,0,46,0.17037037037037037
1,42,3,1,39,0.14444444444444443
1,43,1,0,31,0.11481481481481481
1,44,1,0,36,0.13333333333333333
1,45,0,0,20,0.07407407407407407
1,46,3,1,36,0.13333333333333333
1,47,5,0,49,0.1814814814814815
1,48,3,0,20,0.07407407407407407
1,49,5,0,64,0.23703703703703705
1,50,3,0,18,0.06666666666666667
1,51,0,1,16,0.05925925925925926
1,52,2,0,76,0.2814814814814815
1,53,2,0,47,0.17407407407407408
1,54,1,1,70,0.25925925925925924
1,55,4,0,47,0.17407407407407408
1,56,4,0,54,0.2
1,57,1,1,34,0.1259259259259259
1,58,5,1,53,0.1962962962962963
1,59,1,0,35,0.12962962962962962
1,60,1,1,59,0.21851851851851853
1,61,2,1,70,0.25925925925925924
1,62,1,1,54,0.2
1,63,4,0,32,0.11851851851851852
1,64,2,0,152,0.562962962962963
1,65,4,0,81,0.3
1,66,0,0,17,0.06296296296296296
1,67,3,0,21,0.07777777777777778
1,68,5,0,56,0.2074074074074074
1,69,0,0,34,0.1259259259259259
1,70,4,0,34,0.1259259259259259
1,71,1,0,34,0.1259259259259259
1,72,4,0,37,0.13703703703703704
1,73,1,0,32,0.11851851851851852
1,74,4,0,58,0.21481481481481482
1,75,4,0,32,0.11851851851851852
1,76,2,0,48,0.17777777777777778
1,77,2,0,65,0.24074074074074073
1,78,5,1,56,0.2074074074074074
1,79,4,0,36,0.13333333333333333
1,80,1,0,31,0.11481481481481481
1,81,3,1,16,0.05925925925925926
1,82,3,1,16,0.05925925925925926
1,83,3,0,15,0.05555555555555555
1,84,3,0,17,0.06296296296296296
1,85,4,0,34,0.1259259259259259
1,86,1,0,38,0.14074074074074075
1,87,2,1,45,0.16666666666666666
1,88,0,0,68,0.2518518518518518
1,89,5,0,88,0.32592592592592595
1,90,0,0,17,0.06296296296296296
2,0,1,0,40,0.14814814814814814
2,1,2,0,54,0.2
2,2,0,0,15,0.05555555555555555
2,3,0,0,16,0.05925925925925926
2,4,3,0,21,0.07777777777777778
2,5,2,1,45,0.16666666666666666
2,6,4,0,35,0.12962962962962962
2,7,5,0,74,0.2740740740740741
2,8,0,0,15,0.05555555555555555
2,9,0,0,22,0.08148148148148149
2,10,4,0,54,0.2
2,11,2,0,56,0.2074074074074074
2,12,1,0,39,0.14444444444444443
2,13,0,0,16,0.05925925925925926
2,14,1,0,61,0.22592592592592592
2,15,0,0,23,0.08518518518518518
2,16,4,0,48,0.17777777777777778
2,17,3,1,30,0.1111111111111111
2,18,0,1,39,0.14444444444444443
2,19,1,0,110,0.4074074074074074
2,20,1,1,54,0.2
2,21,5,0,270,1.0
2,22,2,0,54,0.2
2,23,1,0,128,0.4740740740740741
2,24,1,1,53,0.1962962962962963
2,25,3,0,18,0.06666666666666667
2,26,0,0,29,0.10740740740740741
2,27,1,0,77,0.2851851851851852
2,28,3,0,16,0.05925925925925926
2,29,5,0,54,0.2
2,30,4,1,72,0.26666666666666666
2,31,3,0,17,0.06296296296296296
2,32,2,0,53,0.1962962962962963
2,33,0,1,37,0.13703703703703704
3,0,3,0,96,0.35555555555555557
3,1,2,0,90,0.3333333333333333
3,2,1,1,42,0.15555555555555556
3,3,3,0,140,0.5185185185185185
3,4,3,0,16,0.05925925925925926
3,5,1,0,30,0.1111111111111111
3,6,3,1,28,0.1037037037037037
3,7,0,0,32,0.11851851851851852
3,8,0,1,146,0.5407407407407407
3,9,2,0,55,0.2037037037037037
3,10,5,0,49,0.1814814814814815
3,11,2,0,48,0.17777777777777778
3,12,0,1,16,0.05925925925925926
3,13,5,1,49,0.1814814814814815
3,14,4,0,48,0.17777777777777778
3,15,3,0,111,0.4111111111111111
3,16,4,0,119,0.44074074074074077
3,17,2,0,107,0.3962962962962963
3,18,2,1,49,0.1814814814814815
3,19,2,0,101,0.37407407407407406
3,20,5,0,45,0.16666666666666666
3,21,4,1,51,0.18888888888888888
3,22,3,0,18,0.06666666666666667
3,23,0,0,16,0.05925925925925926
3,24,0,0,29,0.10740740740740741
3,25,3,0,17,0.06296296296296296
3,26,1,0,47,0.17407407407407408
3,27,3,1,20,0.07407407407407407
3,28,3,0,20,0.07407407407407407
3,29,0,0,17,0.06296296296296296
3,30,2,1,48,0.17777777777777778
3,31,1,0,39,0.14444444444444443
3,32,2,0,53,0.1962962962962963
3,33,0,1,32,0.11851851851851852
3,34,5,0,64,0.23703703703703705
3,35,4,0,70,0.25925925925925924
3,36,0,0,20,0.07407407407407407
3,37,1,0,30,0.1111111111111111
3,38,2,0,174,0.6444444444444445
3,39,0,0,17,0.06296296296296296
3,40,3,1,25,0.09259259259259259
3,41,0,0,18,0.06666666666666667
3,42,4,0,68,0.2518518518518518
3,43,0,0,15,0.05555555555555555
3,44,4,0,44,0.16296296296296298
3,45,5,0,59,0.21851851851851853
3,46,1,0,31,0.11481481481481481
3,47,0,0,16,0.05925925925925926
3,48,5,1,83,0.3074074074074074
3,49,2,0,86,0.31851851851851853
3,50,5,0,67,0.24814814814814815
3,51,3,1,25,0.09259259259259259
3,52,5,0,48,0.17777777777777778
3,53,1,0,34,0.1259259259259259
3,54,1,0,56,0.2074074074074074
3,55,4,0,42,0.15555555555555556
3,56,5,0,52,0.1925925925925926
3,57,2,0,48,0.17777777777777778
3,58,0,0,20,0.07407407407407407
3,59,5,0,82,0.3037037037037037
3,60,5,0,63,0.23333333333333334
3,61,5,0,48,0.17777777777777778
3,62,2,0,49,0.1814814814814815
3,63,2,0,72,0.26666666666666666
3,64,0,1,15,0.05555555555555555
3,65,0,0,18,0.06666666666666667
3,66,2,0,47,0.17407407407407408
3,67,4,0,32,0.11851851851851852
3,68,0,0,22,0.08148148148148149
3,69,4,0,35,0.12962962962962962
4,0,5,0,48,0.17777777777777778
